1st_Road_Number,Police_Force,Year,heure_num,Day_of_Week,2nd_Road_Number,1st_Road_Class,Number_of_Vehicles,Number_of_Casualties,Speed_limit,Accident_Severity
0,32,2011,17.0,6,1397,6,1,1,30,1
3049,55,2006,1.0,3,0,3,1,1,30,1
641,13,2014,18.0,4,0,3,3,4,40,0
116,45,2007,12.0,1,115,6,3,3,60,0
768,97,2006,11.0,4,0,4,2,2,30,0
452,20,2006,20.0,5,0,3,1,3,40,1
113,17,2006,11.0,7,0,5,1,1,30,0
1238,12,2005,18.0,5,0,3,3,1,30,1
90,93,2009,16.0,1,236,3,2,1,40,0
0,92,2013,0.0,1,0,6,1,1,30,0
1115,37,2010,17.0,4,8300,4,1,2,60,1
0,13,2011,10.0,7,0,6,1,1,30,0
956,92,2006,23.0,6,0,3,1,1,40,0
10,35,2009,19.0,7,0,3,3,2,60,0
8,97,2010,10.0,6,803,3,2,1,30,1
266,1,2005,6.0,3,0,4,1,1,30,1
516,30,2006,18.0,4,0,3,3,1,60,0
1025,42,2010,14.0,2,0,4,4,1,30,0
48,61,2012,9.0,1,4237,3,2,1,30,1
202,1,2006,10.0,1,0,3,2,1,30,1
642,13,2009,0.0,4,0,3,1,1,30,0
202,1,2012,18.0,7,326,3,3,1,30,0
56,6,2012,20.0,5,0,3,1,1,30,0
16,32,2011,13.0,5,1040,3,2,1,60,0
57,32,2013,8.0,6,978,3,2,2,30,0
0,48,2006,9.0,6,0,5,1,2,30,0
6,4,2005,19.0,5,0,1,2,2,70,1
0,52,2010,0.0,7,0,6,3,1,30,1
0,1,2009,15.0,2,0,5,1,1,30,0
0,92,2013,20.0,3,0,6,3,1,30,0
158,41,2006,15.0,4,645,5,2,1,30,0
0,1,2005,14.0,6,0,6,1,1,30,1
10,35,2005,13.0,3,0,3,6,4,60,0
0,46,2006,14.0,5,0,6,1,1,30,1
15,35,2010,11.0,3,0,3,2,1,70,0
669,6,2005,0.0,7,0,3,1,2,30,1
20,1,2005,13.0,5,218,3,2,3,30,0
0,97,2013,12.0,2,0,6,2,1,30,1
66,3,2006,19.0,4,0,3,2,1,60,1
55,60,2013,21.0,2,0,3,1,2,70,0
0,95,2009,12.0,3,0,5,2,1,30,0
3010,46,2009,19.0,3,0,6,2,1,30,0
377,1,2007,11.0,6,0,4,1,1,30,0
451,1,2014,3.0,1,0,4,1,1,30,1
0,6,2010,1.0,1,0,5,2,1,30,1
6428,13,2005,19.0,4,0,4,2,1,60,0
259,47,2010,15.0,5,0,3,1,1,30,1
0,42,2010,7.0,3,0,6,2,2,30,1
0,44,2005,23.0,6,0,6,2,1,30,0
27,44,2005,14.0,1,0,3,2,1,70,0
907,94,2010,12.0,7,0,3,2,1,30,1
9840,92,2006,15.0,7,0,3,1,1,60,0
8,97,2013,23.0,6,0,1,1,1,70,0
90,93,2014,7.0,1,0,3,1,1,70,0
5067,22,2005,21.0,2,0,4,2,2,60,1
12,42,2011,18.0,2,0,3,1,1,70,1
7,95,2012,16.0,1,0,3,2,1,60,0
0,17,2013,17.0,2,0,6,2,1,40,1
0,20,2006,21.0,7,0,6,1,1,40,1
0,44,2014,16.0,1,0,6,2,2,60,0
4,1,2012,9.0,6,0,3,1,2,30,0
61,12,2014,12.0,1,0,3,2,1,40,1
3,45,2005,8.0,3,0,3,2,4,50,0
0,47,2010,17.0,2,0,6,3,1,30,1
625,14,2007,13.0,3,0,3,2,1,30,0
5,60,2013,12.0,3,0,3,2,1,60,0
350,55,2009,18.0,1,0,3,2,2,60,0
2,1,2006,14.0,4,0,3,1,1,30,0
3060,55,2006,14.0,5,0,3,2,1,30,1
1,13,2011,14.0,4,0,1,2,1,70,0
26,46,2010,9.0,3,0,3,1,3,30,0
0,13,2006,14.0,7,0,6,1,1,30,1
0,47,2005,4.0,3,0,6,2,2,30,1
1,1,2012,7.0,7,0,3,1,1,30,0
57,7,2012,20.0,1,0,3,2,2,30,1
0,47,2011,15.0,1,0,6,1,2,30,0
343,44,2010,19.0,7,0,3,1,1,50,0
3400,44,2006,8.0,5,0,4,1,1,60,0
0,14,2005,15.0,5,762,6,2,4,30,1
217,45,2013,17.0,5,-1,3,2,2,50,0
629,13,2010,20.0,6,0,3,3,1,30,1
114,1,2010,16.0,3,0,3,2,1,30,0
911,94,2007,14.0,3,0,3,2,2,60,0
0,55,2010,10.0,7,3059,6,1,1,30,0
0,20,2013,8.0,5,0,6,1,1,30,0
1010,1,2012,18.0,3,0,3,1,1,30,0
0,50,2014,15.0,6,0,6,2,1,30,0
0,42,2014,14.0,1,0,6,2,1,30,1
20,1,2005,14.0,5,0,3,2,2,50,1
0,44,2012,10.0,3,0,6,2,1,40,1
1355,36,2009,8.0,4,0,4,1,1,60,1
